City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
5,Katsuura,JP,52.0,broken clouds,35.1333,140.3,Katsuura Hotel Mikazuki
7,Birjand,IR,48.2,few clouds,32.8663,59.2211,Birjand Tourist Hotel
9,Punta Arenas,CL,37.4,clear sky,-53.15,-70.9167,Hotel Dreams Del Estrecho
10,Port Hardy,CA,53.6,scattered clouds,50.6996,-127.4199,Airport Inn
12,Ushuaia,AR,42.8,light intensity drizzle,-54.8,-68.3,Albatros Hotel
14,Fortuna,US,59.0,clear sky,40.5982,-124.1573,Super 8 by Wyndham Fortuna
15,Korla,CN,55.0,clear sky,41.7597,86.1469,Gulisitan Hotel
16,Cap-Aux-Meules,CA,33.8,few clouds,47.3821,-61.8597,Auberge Madeli
17,La Ciotat,FR,48.0,few clouds,43.1748,5.6045,ibis La Ciotat
19,Topchikha,RU,37.4,clear sky,52.8192,83.1185,Gostinitsa
27,Torbay,CA,34.0,overcast clouds,47.6666,-52.7314,Gallows Cove
33,La Ronge,CA,44.6,overcast clouds,55.1001,-105.2842,Northland Motor Hotel
35,Nanortalik,GL,33.1,few clouds,60.1432,-45.2371,Hotel Kap Farvel
37,Pangody,RU,35.74,overcast clouds,65.85,74.4859,Elizaveta Shevchuk's House
38,Codrington,AU,58.35,broken clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
39,Jamestown,US,48.2,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
44,Esperance,AU,55.4,few clouds,-33.8667,121.9,Hospitality Esperance
48,Seoul,KR,46.4,broken clouds,37.5683,126.9778,Lotte Hotel Seoul
50,Ilinskiy,RU,54.0,overcast clouds,55.619,38.1182,Around the world
53,New Norfolk,AU,53.01,light rain,-42.7826,147.0587,The Shingles Riverside Cottages
55,Yakeshi,CN,34.03,overcast clouds,49.2833,120.7333,Longhua Hotel
58,Geraldton,AU,59.0,clear sky,-28.7667,114.6,Broadwater Mariner Resort
66,Kambove,CD,58.33,overcast clouds,-10.8764,26.5969,Couvant des soeurs catholiques
73,Hobart,AU,57.2,light rain,-42.8794,147.3294,Mantra on Collins Hobart
74,Yellowknife,CA,42.8,clear sky,62.456,-114.3525,The Explorer Hotel
78,Sayyan,YE,58.6,clear sky,15.1718,44.3244,متنزه و بحيرة سيان
80,Port Elizabeth,ZA,59.0,few clouds,-33.918,25.5701,39 On Nile Guest House
82,Nikolskoye,RU,37.99,clear sky,59.7035,30.7861,Tourist House - Sablino
85,Flin Flon,CA,42.8,few clouds,54.7682,-101.865,Victoria Inn Flin Flon
90,Andenes,NO,39.2,light rain,69.3143,16.1194,Hotell Marena
92,Bobrovytsya,UA,53.01,clear sky,50.75,31.3833,"Готель ""Трубіж"""
93,Tasiilaq,GL,33.8,overcast clouds,65.6145,-37.6368,The Red House
95,Gravdal,NO,40.41,overcast clouds,68.1214,13.5031,Skreda Rorbusuiter
99,Lebu,CL,56.34,broken clouds,-37.6167,-73.65,Hostal Las Lilas
102,Bredasdorp,ZA,51.8,clear sky,-34.5322,20.0403,Bredasdorp Country Manor
104,Andra,RU,43.25,broken clouds,62.5147,65.8878,"Gostinitsa ""Ob'"""
107,Aulnoye-Aymeries,FR,36.0,few clouds,50.2014,3.8384,La Rom' Antik
108,College,US,48.2,broken clouds,64.8569,-147.8028,Pike's Waterfront Lodge
109,Newport,GB,39.0,scattered clouds,51.5877,-2.9984,ibis budget Newport
110,Lompoc,US,59.0,broken clouds,34.6391,-120.4579,Holiday Inn Express Lompoc
115,Blatec,MK,35.33,scattered clouds,41.8378,22.5781,Green house
117,Aksay,RU,44.01,clear sky,47.26,39.87,Chernaya Zhemchuzhina
118,Aklavik,CA,30.2,overcast clouds,68.2191,-135.0107,Aklavik Inn
121,Gornopravdinsk,RU,42.39,overcast clouds,60.05,69.9,Burovik
123,Bowling Green,US,57.2,overcast clouds,36.9903,-86.4436,Hilton Garden Inn Bowling Green
124,Ancud,CL,51.01,scattered clouds,-41.8697,-73.8203,Hotel Arena Gruesa
126,Ponta Delgada,PT,59.0,few clouds,37.7333,-25.6667,Vila Nova Hotel
128,Bayir,TR,53.6,clear sky,37.2687,28.2167,Hotel Babadag
129,Urengoy,RU,35.24,overcast clouds,65.9667,78.3667,Gostinnitsa Medveditsa
130,Abalak,RU,42.06,scattered clouds,58.1286,68.5944,Туристический комплекс Абалак
131,Grindavik,IS,42.8,broken clouds,63.8424,-22.4338,Northern Light Inn & Max's Restaurant
137,Navalcarnero,ES,57.2,clear sky,40.2891,-4.012,Hotel Ciudad de Navalcarnero
138,Margate,GB,41.0,few clouds,51.3813,1.3862,Premier Inn Margate hotel
140,Mayo,US,57.2,light rain,38.8876,-76.5119,Resorts Resource Group International
143,Antalya,TR,55.4,scattered clouds,36.7741,30.7178,
