City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Omboue,GA,2021-04-10 03:02:55,-1.5746,9.2618,298.65,87,91,0.8
1,Waipawa,NZ,2021-04-10 02:59:49,-41.4122,175.5153,293.15,68,90,10.8
2,Kapaa,US,2021-04-10 02:57:42,22.0752,-159.319,297.15,64,20,7.2
3,Albany,US,2021-04-10 02:57:26,42.6001,-73.9662,288.15,62,90,4.63
4,New Norfolk,AU,2021-04-10 02:57:36,-42.7826,147.0587,285.37,70,64,1.79
5,Punta Arenas,CL,2021-04-10 02:57:23,-53.15,-70.9167,279.15,75,0,6.69
6,Ostrovnoy,RU,2021-04-10 02:58:15,68.0531,39.5131,274.0,89,96,14.61
7,Cherskiy,RU,2021-04-10 02:57:51,68.75,161.3,258.29,77,100,2.46
8,Port Hardy,CA,2021-04-10 02:58:22,50.6996,-127.4199,277.15,100,90,6.17
9,Rikitea,PF,2021-04-10 02:57:17,-23.1203,-134.9692,298.96,74,75,5.23
10,Puerto Madero,MX,2021-04-10 03:02:56,14.7208,-92.4215,299.15,83,20,2.89
11,Naze,JP,2021-04-10 02:57:51,28.3667,129.4833,292.15,82,75,11.32
12,Ushuaia,AR,2021-04-10 02:57:16,-54.8,-68.3,279.15,70,75,3.24
13,Pisco,PE,2021-04-10 02:57:40,-13.7,-76.2167,293.15,77,0,7.72
14,Port Alfred,ZA,2021-04-10 02:57:43,-33.5906,26.891,289.95,84,54,0.61
15,Vyartsilya,RU,2021-04-10 03:02:57,62.1764,30.693,275.25,85,100,6.99
16,Yellowknife,CA,2021-04-10 02:57:44,62.456,-114.3525,262.15,62,75,7.2
17,Busselton,AU,2021-04-10 02:57:20,-33.65,115.3333,293.15,65,0,2.24
18,Tuktoyaktuk,CA,2021-04-10 02:57:22,69.4541,-133.0374,247.15,70,75,5.66
19,San Patricio,US,2021-04-10 02:57:40,28.017,-97.5169,297.15,88,20,5.14
20,Coquimbo,CL,2021-04-10 02:57:28,-29.9533,-71.3436,287.15,88,0,1.03
21,Inzer,RU,2021-04-10 03:02:58,54.2167,57.5556,278.42,88,100,1.78
22,Tuatapere,NZ,2021-04-10 02:58:10,-46.1333,167.6833,286.48,91,100,2.68
23,Ciudad Bolivar,VE,2021-04-10 03:02:58,8.1222,-63.5497,300.76,70,87,6.33
